Designator,Mid X,Mid Y,Layer,Rotation
J5,-60.000000mm,-115.000000mm,Bottom,180
J8,-85.000000mm,-138.000000mm,Bottom,90
J11,-85.000000mm,-125.000000mm,Bottom,90
J19,-41.750000mm,-134.750000mm,Bottom,0
U7,-68.000000mm,-132.000000mm,Bottom,90
C1,68.250000mm,-103.100000mm,Top,90
C2,67.850000mm,-117.450000mm,Top,0
C3,55.500000mm,-104.000000mm,Top,180
C4,71.500000mm,-103.500000mm,Top,90
C5,55.500000mm,-116.000000mm,Top,90
C6,57.000000mm,-116.000000mm,Top,90
C7,66.900000mm,-115.500000mm,Top,270
C8,57.100000mm,-102.500000mm,Top,90
C9,51.500000mm,-114.765000mm,Top,270
C10,47.500000mm,-114.765000mm,Top,270
C11,49.150000mm,-105.250000mm,Top,0
C12,49.500000mm,-110.750000mm,Top,180
C13,92.300000mm,-112.950000mm,Top,90
C14,35.200000mm,-88.200000mm,Top,90
C15,90.600000mm,-112.650000mm,Top,90
C16,88.600000mm,-112.650000mm,Top,90
C17,46.750000mm,-144.000000mm,Top,90
C18,48.000000mm,-144.000000mm,Top,90
C19,88.350000mm,-107.625000mm,Top,270
C20,92.050000mm,-107.925000mm,Top,270
C21,50.000000mm,-144.000000mm,Top,90
C22,90.050000mm,-107.925000mm,Top,270
C23,51.250000mm,-144.000000mm,Top,90
C24,49.750000mm,-141.515000mm,Top,90
C25,49.750000mm,-139.000000mm,Top,90
C26,48.250000mm,-136.500000mm,Top,90
C27,96.400000mm,-132.000000mm,Top,0
C28,48.250000mm,-141.500000mm,Top,90
C29,48.250000mm,-139.000000mm,Top,90
C30,49.750000mm,-136.485000mm,Top,90
C31,96.600000mm,-130.500000mm,Top,0
C32,94.700000mm,-119.400000mm,Top,180
C33,84.800000mm,-98.900000mm,Top,90
C34,49.500000mm,-123.750000mm,Top,180
C35,75.850000mm,-136.250000mm,Top,180
C36,47.000000mm,-125.000000mm,Top,0
C37,88.050000mm,-128.550000mm,Top,270
C38,48.250000mm,-131.750000mm,Top,90
C39,86.150000mm,-129.300000mm,Top,90
C40,50.500000mm,-128.950000mm,Top,270
C41,58.500000mm,-149.000000mm,Top,180
D1,84.587500mm,-119.402500mm,Top,0
D2,56.050000mm,-96.800000mm,Top,270
D3,73.500000mm,-100.000000mm,Top,270
D4,93.337500mm,-104.750000mm,Top,0
D5,75.450000mm,-112.500000mm,Top,270
D6,73.550000mm,-112.500000mm,Top,270
D7,48.650000mm,-120.750000mm,Top,90
F1,95.250000mm,-113.450000mm,Top,0
FB1,49.500000mm,-115.312000mm,Top,270
G***,79.200000mm,-144.850000mm,Top,0
J1,56.800000mm,-93.050000mm,Top,270
J2,102.000000mm,-112.150000mm,Top,0
J3,34.800000mm,-100.000000mm,Top,0
J4,39.160000mm,-93.050000mm,Top,0
J6,98.600000mm,-93.000000mm,Top,270
J7,73.300000mm,-93.050000mm,Top,270
J9,33.000000mm,-157.000000mm,Top,90
J10,77.100000mm,-93.000000mm,Top,90
J12,38.000000mm,-139.600000mm,Top,0
J13,32.250000mm,-121.900000mm,Top,180
J14,103.000000mm,-98.200000mm,Top,0
J15,45.400000mm,-93.000000mm,Top,90
J16,78.900000mm,-87.650000mm,Top,180
J17,50.000000mm,-157.000000mm,Top,90
J18,33.000000mm,-128.750000mm,Top,180
J20,32.000000mm,-148.000000mm,Top,0
J21,103.000000mm,-149.000000mm,Top,180
J22,74.000000mm,-157.000000mm,Top,270
J23,103.000000mm,-119.000000mm,Top,0
J24,95.000000mm,-157.000000mm,Top,270
J25,81.000000mm,-157.000000mm,Top,270
J26,88.000000mm,-157.000000mm,Top,270
JP1,46.800000mm,-86.550000mm,Top,0
JP2,50.500000mm,-86.550000mm,Top,0
JP3,54.200000mm,-86.550000mm,Top,0
JP4,66.200000mm,-86.550000mm,Top,0
JP5,62.500000mm,-86.550000mm,Top,0
JP6,58.800000mm,-86.550000mm,Top,0
L1,56.500000mm,-118.250000mm,Top,0
Q1,70.000000mm,-148.250000mm,Top,0
R1,41.377500mm,-84.700000mm,Top,180
R2,87.687500mm,-119.402500mm,Top,180
R3,52.550000mm,-96.800000mm,Top,270
R4,54.300000mm,-96.800000mm,Top,90
R5,73.500000mm,-103.500000mm,Top,90
R6,52.500000mm,-108.500000mm,Top,270
R7,44.200000mm,-87.450000mm,Top,270
R8,53.850000mm,-118.750000mm,Top,270
R9,96.487500mm,-104.750000mm,Top,180
R10,77.100000mm,-98.900000mm,Top,270
R11,79.700000mm,-98.900000mm,Top,270
R12,82.200000mm,-98.900000mm,Top,270
R13,87.800000mm,-98.500000mm,Top,0
R14,99.100000mm,-101.700000mm,Top,0
R15,89.650000mm,-131.900000mm,Top,180
R16,86.450000mm,-131.900000mm,Top,180
R17,99.100000mm,-99.500000mm,Top,0
R18,49.500000mm,-131.750000mm,Top,270
R19,47.000000mm,-123.750000mm,Top,0
R20,49.500000mm,-125.000000mm,Top,180
R21,73.500000mm,-147.250000mm,Top,0
R22,73.500000mm,-149.250000mm,Top,180
R23,69.500000mm,-132.500000mm,Top,270
R24,62.500000mm,-132.500000mm,Top,270
R25,59.000000mm,-132.500000mm,Top,270
R26,60.750000mm,-136.250000mm,Top,270
R27,59.000000mm,-136.250000mm,Top,270
R28,62.500000mm,-136.250000mm,Top,270
R29,64.250000mm,-136.250000mm,Top,270
R30,69.500000mm,-136.287500mm,Top,270
R31,66.000000mm,-136.250000mm,Top,270
R32,67.750000mm,-136.250000mm,Top,270
R33,75.450000mm,-116.000000mm,Top,270
R34,73.550000mm,-116.000000mm,Top,270
R35,50.350000mm,-120.750000mm,Top,270
S1,62.000000mm,-155.825000mm,Top,180
SW1,102.600000mm,-89.900000mm,Top,90
U1,62.000000mm,-109.000000mm,Top,270
U2,39.700000mm,-88.200000mm,Top,270
U3,84.100000mm,-110.300000mm,Top,270
U4,72.500000mm,-107.000000mm,Top,0
U5,92.200000mm,-142.400000mm,Top,270
U6,48.250000mm,-128.500000mm,Top,270
Y1,49.500000mm,-108.000000mm,Top,270
